Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
210,c0a00000,3f400000,n/a,n/a,n/a,c0820000,n/a,n/a,n/a,PASS
211,40c00000,bf800000,n/a,n/a,n/a,c0dc0000,n/a,n/a,n/a,PASS
212,c0e00000,3fc00000,n/a,n/a,n/a,c12a0000,n/a,n/a,n/a,PASS
213,41000000,c0000000,n/a,n/a,n/a,c18c0000,n/a,n/a,n/a,PASS
214,c1200000,40400000,n/a,n/a,n/a,c2020000,n/a,n/a,n/a,PASS
215,41400000,c0800000,n/a,n/a,n/a,c25c0000,n/a,n/a,n/a,PASS
216,c1600000,40c00000,n/a,n/a,n/a,c2aa0000,n/a,n/a,n/a,PASS
217,41800000,c1000000,n/a,n/a,n/a,c30c0000,n/a,n/a,n/a,PASS
218,c1a00000,41400000,n/a,n/a,n/a,c3820000,n/a,n/a,n/a,PASS
219,41c00000,c1800000,n/a,n/a,n/a,c3dc0000,n/a,n/a,n/a,PASS
220,c1e00000,41c00000,n/a,n/a,n/a,c42a0000,n/a,n/a,n/a,PASS
221,42000000,c2000000,n/a,n/a,n/a,c48c0000,n/a,n/a,n/a,PASS
222,c2200000,42400000,n/a,n/a,n/a,c5020000,n/a,n/a,n/a,PASS
223,42400000,c2800000,n/a,n/a,n/a,c55c0000,n/a,n/a,n/a,PASS
224,c2600000,42c00000,n/a,n/a,n/a,c5aa0000,n/a,n/a,n/a,PASS
225,3e800000,bf000000,n/a,n/a,n/a,be0c0000,n/a,n/a,n/a,PASS
226,bea00000,3f400000,n/a,n/a,n/a,be820000,n/a,n/a,n/a,PASS
227,3ec00000,bf800000,n/a,n/a,n/a,bedc0000,n/a,n/a,n/a,PASS
228,bee00000,3fc00000,n/a,n/a,n/a,bf2a0000,n/a,n/a,n/a,PASS
229,3f000000,c0000000,n/a,n/a,n/a,bf8c0000,n/a,n/a,n/a,PASS
230,bf200000,40400000,n/a,n/a,n/a,c0020000,n/a,n/a,n/a,PASS
231,3f400000,c0800000,n/a,n/a,n/a,c05c0000,n/a,n/a,n/a,PASS
232,bf600000,40c00000,n/a,n/a,n/a,c0aa0000,n/a,n/a,n/a,PASS
233,3f800000,c1000000,n/a,n/a,n/a,c10c0000,n/a,n/a,n/a,PASS
234,bfa00000,41400000,n/a,n/a,n/a,c1820000,n/a,n/a,n/a,PASS
235,3fc00000,c1800000,n/a,n/a,n/a,c1dc0000,n/a,n/a,n/a,PASS
236,bfe00000,41c00000,n/a,n/a,n/a,c22a0000,n/a,n/a,n/a,PASS
237,40000000,c2000000,n/a,n/a,n/a,c28c0000,n/a,n/a,n/a,PASS
238,c0200000,42400000,n/a,n/a,n/a,c3020000,n/a,n/a,n/a,PASS
239,40400000,c2800000,n/a,n/a,n/a,c35c0000,n/a,n/a,n/a,PASS
240,c0600000,42c00000,n/a,n/a,n/a,c3aa0000,n/a,n/a,n/a,PASS
241,40800000,bf000000,n/a,n/a,n/a,c00c0000,n/a,n/a,n/a,PASS
242,c0a00000,3f400000,n/a,n/a,n/a,c0820000,n/a,n/a,n/a,PASS
243,40c00000,bf800000,n/a,n/a,n/a,c0dc0000,n/a,n/a,n/a,PASS
244,c0e00000,3fc00000,n/a,n/a,n/a,c12a0000,n/a,n/a,n/a,PASS
245,41000000,c0000000,n/a,n/a,n/a,c18c0000,n/a,n/a,n/a,PASS
246,c1200000,40400000,n/a,n/a,n/a,c2020000,n/a,n/a,n/a,PASS
247,41400000,c0800000,n/a,n/a,n/a,c25c0000,n/a,n/a,n/a,PASS
248,c1600000,40c00000,n/a,n/a,n/a,c2aa0000,n/a,n/a,n/a,PASS
249,41800000,c1000000,n/a,n/a,n/a,c30c0000,n/a,n/a,n/a,PASS
250,c1a00000,41400000,n/a,n/a,n/a,c3820000,n/a,n/a,n/a,PASS
251,41c00000,c1800000,n/a,n/a,n/a,c3dc0000,n/a,n/a,n/a,PASS
252,c1e00000,41c00000,n/a,n/a,n/a,c42a0000,n/a,n/a,n/a,PASS
253,42000000,c2000000,n/a,n/a,n/a,c48c0000,n/a,n/a,n/a,PASS
254,c2200000,42400000,n/a,n/a,n/a,c5020000,n/a,n/a,n/a,PASS
255,42400000,c2800000,n/a,n/a,n/a,c55c0000,n/a,n/a,n/a,PASS
256,c2600000,42c00000,n/a,n/a,n/a,c5aa0000,n/a,n/a,n/a,PASS
