Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
131,bd000000,3f000002,n/a,n/a,n/a,bd000000,n/a,n/a,n/a,PASS
132,bd800000,3f800003,n/a,n/a,n/a,be000000,n/a,n/a,n/a,PASS
133,be000000,40000004,n/a,n/a,n/a,bf000000,n/a,n/a,n/a,PASS
134,be800000,40800005,n/a,n/a,n/a,c0000000,n/a,n/a,n/a,PASS
135,bf000000,41000006,n/a,n/a,n/a,c1000000,n/a,n/a,n/a,PASS
136,bf800000,41800007,n/a,n/a,n/a,c2000000,n/a,n/a,n/a,PASS
137,c0000000,42000008,n/a,n/a,n/a,c3000008,n/a,n/a,n/a,PASS
138,c0800000,42800009,n/a,n/a,n/a,c4000008,n/a,n/a,n/a,PASS
139,c1000000,4300000a,n/a,n/a,n/a,c5000008,n/a,n/a,n/a,PASS
140,c1800000,4380000b,n/a,n/a,n/a,c6000008,n/a,n/a,n/a,PASS
141,c2000000,4400000c,n/a,n/a,n/a,c7000008,n/a,n/a,n/a,PASS
142,c2800000,4480000d,n/a,n/a,n/a,c8000008,n/a,n/a,n/a,PASS
143,c3000000,4500000e,n/a,n/a,n/a,c9000008,n/a,n/a,n/a,PASS
144,c3800000,4580000f,n/a,n/a,n/a,ca000008,n/a,n/a,n/a,PASS
145,c4000000,46000010,n/a,n/a,n/a,cb000008,n/a,n/a,n/a,PASS
146,c4800000,46800011,n/a,n/a,n/a,cc000008,n/a,n/a,n/a,PASS
147,c5000000,47000012,n/a,n/a,n/a,cd000008,n/a,n/a,n/a,PASS
148,c5800000,47800013,n/a,n/a,n/a,ce000008,n/a,n/a,n/a,PASS
149,c6000000,48000014,n/a,n/a,n/a,cf000008,n/a,n/a,n/a,PASS
150,c6800000,48800015,n/a,n/a,n/a,d0000008,n/a,n/a,n/a,PASS
151,c7000000,49000016,n/a,n/a,n/a,d1000008,n/a,n/a,n/a,PASS
152,c7800000,49800017,n/a,n/a,n/a,d2000008,n/a,n/a,n/a,PASS
153,c8000000,4a000018,n/a,n/a,n/a,d3000010,n/a,n/a,n/a,PASS
154,c8800000,4a800019,n/a,n/a,n/a,d4000010,n/a,n/a,n/a,PASS
155,c9000000,4b00001a,n/a,n/a,n/a,d5000010,n/a,n/a,n/a,PASS
156,c9800000,4b80001b,n/a,n/a,n/a,d6000010,n/a,n/a,n/a,PASS
157,ca000000,4c00001c,n/a,n/a,n/a,d7000010,n/a,n/a,n/a,PASS
158,ca800000,4c80001d,n/a,n/a,n/a,d8000010,n/a,n/a,n/a,PASS
159,cb000000,4d00001e,n/a,n/a,n/a,d9000010,n/a,n/a,n/a,PASS
160,cb800000,4d80001f,n/a,n/a,n/a,da000010,n/a,n/a,n/a,PASS
161,cc000000,3e000000,n/a,n/a,n/a,cb000000,n/a,n/a,n/a,PASS
162,cc800000,3e800001,n/a,n/a,n/a,cc000000,n/a,n/a,n/a,PASS
163,cd000000,3f000002,n/a,n/a,n/a,cd000000,n/a,n/a,n/a,PASS
164,cd800000,3f800003,n/a,n/a,n/a,ce000000,n/a,n/a,n/a,PASS
165,ce000000,40000004,n/a,n/a,n/a,cf000000,n/a,n/a,n/a,PASS
166,ce800000,40800005,n/a,n/a,n/a,d0000000,n/a,n/a,n/a,PASS
167,cf000000,41000006,n/a,n/a,n/a,d1000000,n/a,n/a,n/a,PASS
168,cf800000,41800007,n/a,n/a,n/a,d2000000,n/a,n/a,n/a,PASS
169,d0000000,42000008,n/a,n/a,n/a,d3000008,n/a,n/a,n/a,PASS
170,d0800000,42800009,n/a,n/a,n/a,d4000008,n/a,n/a,n/a,PASS
171,d1000000,4300000a,n/a,n/a,n/a,d5000008,n/a,n/a,n/a,PASS
172,d1800000,4380000b,n/a,n/a,n/a,d6000008,n/a,n/a,n/a,PASS
173,d2000000,4400000c,n/a,n/a,n/a,d7000008,n/a,n/a,n/a,PASS
174,d2800000,4480000d,n/a,n/a,n/a,d8000008,n/a,n/a,n/a,PASS
175,d3000000,4500000e,n/a,n/a,n/a,d9000008,n/a,n/a,n/a,PASS
176,d3800000,4580000f,n/a,n/a,n/a,da000008,n/a,n/a,n/a,PASS
177,d4000000,46000010,n/a,n/a,n/a,db000008,n/a,n/a,n/a,PASS
178,d4800000,46800011,n/a,n/a,n/a,dc000008,n/a,n/a,n/a,PASS
179,d5000000,47000012,n/a,n/a,n/a,dd000008,n/a,n/a,n/a,PASS
180,d5800000,47800013,n/a,n/a,n/a,de000008,n/a,n/a,n/a,PASS
181,d6000000,48000014,n/a,n/a,n/a,df000008,n/a,n/a,n/a,PASS
182,d6800000,48800015,n/a,n/a,n/a,e0000008,n/a,n/a,n/a,PASS
183,d7000000,49000016,n/a,n/a,n/a,e1000008,n/a,n/a,n/a,PASS
184,d7800000,49800017,n/a,n/a,n/a,e2000008,n/a,n/a,n/a,PASS
185,d8000000,4a000018,n/a,n/a,n/a,e3000010,n/a,n/a,n/a,PASS
186,d8800000,4a800019,n/a,n/a,n/a,e4000010,n/a,n/a,n/a,PASS
187,d9000000,4b00001a,n/a,n/a,n/a,e5000010,n/a,n/a,n/a,PASS
188,d9800000,4b80001b,n/a,n/a,n/a,e6000010,n/a,n/a,n/a,PASS
189,da000000,4c00001c,n/a,n/a,n/a,e7000010,n/a,n/a,n/a,PASS
190,da800000,4c80001d,n/a,n/a,n/a,e8000010,n/a,n/a,n/a,PASS
191,db000000,4d00001e,n/a,n/a,n/a,e9000010,n/a,n/a,n/a,PASS
192,db800000,4d80001f,n/a,n/a,n/a,ea000010,n/a,n/a,n/a,PASS
193,3e800000,bf000000,n/a,n/a,n/a,be800000,n/a,n/a,n/a,PASS
194,bea00000,3f400000,n/a,n/a,n/a,bea00000,n/a,n/a,n/a,PASS
195,3ec00000,bf800000,n/a,n/a,n/a,bf400000,n/a,n/a,n/a,PASS
196,bee00000,3fc00000,n/a,n/a,n/a,bf600000,n/a,n/a,n/a,PASS
197,3f000000,c0000000,n/a,n/a,n/a,c0000000,n/a,n/a,n/a,PASS
198,bf200000,40400000,n/a,n/a,n/a,c0200000,n/a,n/a,n/a,PASS
199,3f400000,c0800000,n/a,n/a,n/a,c0c00000,n/a,n/a,n/a,PASS
200,bf600000,40c00000,n/a,n/a,n/a,c0e00000,n/a,n/a,n/a,PASS
201,3f800000,c1000000,n/a,n/a,n/a,c1800000,n/a,n/a,n/a,PASS
202,bfa00000,41400000,n/a,n/a,n/a,c1a00000,n/a,n/a,n/a,PASS
203,3fc00000,c1800000,n/a,n/a,n/a,c2400000,n/a,n/a,n/a,PASS
204,bfe00000,41c00000,n/a,n/a,n/a,c2600000,n/a,n/a,n/a,PASS
205,40000000,c2000000,n/a,n/a,n/a,c3000000,n/a,n/a,n/a,PASS
206,c0200000,42400000,n/a,n/a,n/a,c3200000,n/a,n/a,n/a,PASS
207,40400000,c2800000,n/a,n/a,n/a,c3c00000,n/a,n/a,n/a,PASS
208,c0600000,42c00000,n/a,n/a,n/a,c3e00000,n/a,n/a,n/a,PASS
209,40800000,bf000000,n/a,n/a,n/a,c0800000,n/a,n/a,n/a,PASS
210,c0a00000,3f400000,n/a,n/a,n/a,c0a00000,n/a,n/a,n/a,PASS
211,40c00000,bf800000,n/a,n/a,n/a,c1400000,n/a,n/a,n/a,PASS
212,c0e00000,3fc00000,n/a,n/a,n/a,c1600000,n/a,n/a,n/a,PASS
213,41000000,c0000000,n/a,n/a,n/a,c2000000,n/a,n/a,n/a,PASS
214,c1200000,40400000,n/a,n/a,n/a,c2200000,n/a,n/a,n/a,PASS
215,41400000,c0800000,n/a,n/a,n/a,c2c00000,n/a,n/a,n/a,PASS
216,c1600000,40c00000,n/a,n/a,n/a,c2e00000,n/a,n/a,n/a,PASS
