Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
143,c3000000,4500000e,n/a,n/a,n/a,c88c000e,n/a,n/a,n/a,PASS
144,c3800000,4580000f,n/a,n/a,n/a,c98c000f,n/a,n/a,n/a,PASS
145,c4000000,46000010,n/a,n/a,n/a,ca8c0010,n/a,n/a,n/a,PASS
146,c4800000,46800011,n/a,n/a,n/a,cb8c0011,n/a,n/a,n/a,PASS
147,c5000000,47000012,n/a,n/a,n/a,cc8c0012,n/a,n/a,n/a,PASS
148,c5800000,47800013,n/a,n/a,n/a,cd8c0013,n/a,n/a,n/a,PASS
149,c6000000,48000014,n/a,n/a,n/a,ce8c0014,n/a,n/a,n/a,PASS
150,c6800000,48800015,n/a,n/a,n/a,cf8c0015,n/a,n/a,n/a,PASS
151,c7000000,49000016,n/a,n/a,n/a,d08c0016,n/a,n/a,n/a,PASS
152,c7800000,49800017,n/a,n/a,n/a,d18c0017,n/a,n/a,n/a,PASS
153,c8000000,4a000018,n/a,n/a,n/a,d28c0018,n/a,n/a,n/a,PASS
154,c8800000,4a800019,n/a,n/a,n/a,d38c0019,n/a,n/a,n/a,PASS
155,c9000000,4b00001a,n/a,n/a,n/a,d48c001a,n/a,n/a,n/a,PASS
156,c9800000,4b80001b,n/a,n/a,n/a,d58c001b,n/a,n/a,n/a,PASS
157,ca000000,4c00001c,n/a,n/a,n/a,d68c001c,n/a,n/a,n/a,PASS
158,ca800000,4c80001d,n/a,n/a,n/a,d78c001d,n/a,n/a,n/a,PASS
159,cb000000,4d00001e,n/a,n/a,n/a,d88c001e,n/a,n/a,n/a,PASS
160,cb800000,4d80001f,n/a,n/a,n/a,d98c001f,n/a,n/a,n/a,PASS
161,cc000000,3e000000,n/a,n/a,n/a,ca8c0000,n/a,n/a,n/a,PASS
162,cc800000,3e800001,n/a,n/a,n/a,cb8c0001,n/a,n/a,n/a,PASS
163,cd000000,3f000002,n/a,n/a,n/a,cc8c0002,n/a,n/a,n/a,PASS
164,cd800000,3f800003,n/a,n/a,n/a,cd8c0003,n/a,n/a,n/a,PASS
165,ce000000,40000004,n/a,n/a,n/a,ce8c0004,n/a,n/a,n/a,PASS
166,ce800000,40800005,n/a,n/a,n/a,cf8c0005,n/a,n/a,n/a,PASS
167,cf000000,41000006,n/a,n/a,n/a,d08c0006,n/a,n/a,n/a,PASS
168,cf800000,41800007,n/a,n/a,n/a,d18c0007,n/a,n/a,n/a,PASS
169,d0000000,42000008,n/a,n/a,n/a,d28c0008,n/a,n/a,n/a,PASS
170,d0800000,42800009,n/a,n/a,n/a,d38c0009,n/a,n/a,n/a,PASS
171,d1000000,4300000a,n/a,n/a,n/a,d48c000a,n/a,n/a,n/a,PASS
172,d1800000,4380000b,n/a,n/a,n/a,d58c000b,n/a,n/a,n/a,PASS
173,d2000000,4400000c,n/a,n/a,n/a,d68c000c,n/a,n/a,n/a,PASS
174,d2800000,4480000d,n/a,n/a,n/a,d78c000d,n/a,n/a,n/a,PASS
175,d3000000,4500000e,n/a,n/a,n/a,d88c000e,n/a,n/a,n/a,PASS
176,d3800000,4580000f,n/a,n/a,n/a,d98c000f,n/a,n/a,n/a,PASS
177,d4000000,46000010,n/a,n/a,n/a,da8c0010,n/a,n/a,n/a,PASS
178,d4800000,46800011,n/a,n/a,n/a,db8c0011,n/a,n/a,n/a,PASS
179,d5000000,47000012,n/a,n/a,n/a,dc8c0012,n/a,n/a,n/a,PASS
180,d5800000,47800013,n/a,n/a,n/a,dd8c0013,n/a,n/a,n/a,PASS
181,d6000000,48000014,n/a,n/a,n/a,de8c0014,n/a,n/a,n/a,PASS
182,d6800000,48800015,n/a,n/a,n/a,df8c0015,n/a,n/a,n/a,PASS
183,d7000000,49000016,n/a,n/a,n/a,e08c0016,n/a,n/a,n/a,PASS
184,d7800000,49800017,n/a,n/a,n/a,e18c0017,n/a,n/a,n/a,PASS
185,d8000000,4a000018,n/a,n/a,n/a,e28c0018,n/a,n/a,n/a,PASS
186,d8800000,4a800019,n/a,n/a,n/a,e38c0019,n/a,n/a,n/a,PASS
187,d9000000,4b00001a,n/a,n/a,n/a,e48c001a,n/a,n/a,n/a,PASS
188,d9800000,4b80001b,n/a,n/a,n/a,e58c001b,n/a,n/a,n/a,PASS
189,da000000,4c00001c,n/a,n/a,n/a,e68c001c,n/a,n/a,n/a,PASS
190,da800000,4c80001d,n/a,n/a,n/a,e78c001d,n/a,n/a,n/a,PASS
191,db000000,4d00001e,n/a,n/a,n/a,e88c001e,n/a,n/a,n/a,PASS
192,db800000,4d80001f,n/a,n/a,n/a,e98c001f,n/a,n/a,n/a,PASS
193,3e800000,bf000000,n/a,n/a,n/a,be0c0000,n/a,n/a,n/a,PASS
194,bea00000,3f400000,n/a,n/a,n/a,be6c0000,n/a,n/a,n/a,PASS
195,3ec00000,bf800000,n/a,n/a,n/a,becc0000,n/a,n/a,n/a,PASS
196,bee00000,3fc00000,n/a,n/a,n/a,bf560000,n/a,n/a,n/a,PASS
197,3f000000,c0000000,n/a,n/a,n/a,bf8c0000,n/a,n/a,n/a,PASS
198,bf200000,40400000,n/a,n/a,n/a,bfec0000,n/a,n/a,n/a,PASS
199,3f400000,c0800000,n/a,n/a,n/a,c04c0000,n/a,n/a,n/a,PASS
200,bf600000,40c00000,n/a,n/a,n/a,c0d60000,n/a,n/a,n/a,PASS
201,3f800000,c1000000,n/a,n/a,n/a,c10c0000,n/a,n/a,n/a,PASS
202,bfa00000,41400000,n/a,n/a,n/a,c16c0000,n/a,n/a,n/a,PASS
203,3fc00000,c1800000,n/a,n/a,n/a,c1cc0000,n/a,n/a,n/a,PASS
204,bfe00000,41c00000,n/a,n/a,n/a,c2560000,n/a,n/a,n/a,PASS
205,40000000,c2000000,n/a,n/a,n/a,c28c0000,n/a,n/a,n/a,PASS
206,c0200000,42400000,n/a,n/a,n/a,c2ec0000,n/a,n/a,n/a,PASS
207,40400000,c2800000,n/a,n/a,n/a,c34c0000,n/a,n/a,n/a,PASS
208,c0600000,42c00000,n/a,n/a,n/a,c3d60000,n/a,n/a,n/a,PASS
209,40800000,bf000000,n/a,n/a,n/a,c00c0000,n/a,n/a,n/a,PASS
210,c0a00000,3f400000,n/a,n/a,n/a,c06c0000,n/a,n/a,n/a,PASS
211,40c00000,bf800000,n/a,n/a,n/a,c0cc0000,n/a,n/a,n/a,PASS
212,c0e00000,3fc00000,n/a,n/a,n/a,c1560000,n/a,n/a,n/a,PASS
213,41000000,c0000000,n/a,n/a,n/a,c18c0000,n/a,n/a,n/a,PASS
214,c1200000,40400000,n/a,n/a,n/a,c1ec0000,n/a,n/a,n/a,PASS
215,41400000,c0800000,n/a,n/a,n/a,c24c0000,n/a,n/a,n/a,PASS
216,c1600000,40c00000,n/a,n/a,n/a,c2d60000,n/a,n/a,n/a,PASS
217,41800000,c1000000,n/a,n/a,n/a,c30c0000,n/a,n/a,n/a,PASS
218,c1a00000,41400000,n/a,n/a,n/a,c36c0000,n/a,n/a,n/a,PASS
219,41c00000,c1800000,n/a,n/a,n/a,c3cc0000,n/a,n/a,n/a,PASS
220,c1e00000,41c00000,n/a,n/a,n/a,c4560000,n/a,n/a,n/a,PASS
221,42000000,c2000000,n/a,n/a,n/a,c48c0000,n/a,n/a,n/a,PASS
222,c2200000,42400000,n/a,n/a,n/a,c4ec0000,n/a,n/a,n/a,PASS
223,42400000,c2800000,n/a,n/a,n/a,c54c0000,n/a,n/a,n/a,PASS
224,c2600000,42c00000,n/a,n/a,n/a,c5d60000,n/a,n/a,n/a,PASS
225,3e800000,bf000000,n/a,n/a,n/a,be0c0000,n/a,n/a,n/a,PASS
226,bea00000,3f400000,n/a,n/a,n/a,be6c0000,n/a,n/a,n/a,PASS
227,3ec00000,bf800000,n/a,n/a,n/a,becc0000,n/a,n/a,n/a,PASS
228,bee00000,3fc00000,n/a,n/a,n/a,bf560000,n/a,n/a,n/a,PASS
229,3f000000,c0000000,n/a,n/a,n/a,bf8c0000,n/a,n/a,n/a,PASS
230,bf200000,40400000,n/a,n/a,n/a,bfec0000,n/a,n/a,n/a,PASS
231,3f400000,c0800000,n/a,n/a,n/a,c04c0000,n/a,n/a,n/a,PASS
232,bf600000,40c00000,n/a,n/a,n/a,c0d60000,n/a,n/a,n/a,PASS
233,3f800000,c1000000,n/a,n/a,n/a,c10c0000,n/a,n/a,n/a,PASS
234,bfa00000,41400000,n/a,n/a,n/a,c16c0000,n/a,n/a,n/a,PASS
235,3fc00000,c1800000,n/a,n/a,n/a,c1cc0000,n/a,n/a,n/a,PASS
